,x,y
0,36.0531323600838,521.6738284082993
1,49.78818656222486,516.2793873632297
2,62.30413412606871,512.6539573038598
3,126.41624586469122,496.63514230683603
4,187.4166201728308,478.9040806597512
5,241.89061711984516,458.39273948953206
6,291.9182374501199,436.720810415718
7,339.0391967081871,413.4112328454933
8,381.89744406864526,390.3942248870504
9,422.3279355517258,366.12416199694053
10,461.12636154169894,344.0749248155893
11,497.06198323402896,329.4946689148466
12,532.5537721864653,321.0416702995073
13,564.3645998015021,319.24802690765375
14,593.9683010637973,322.6753466201867
15,620.1691740727225,331.07296876327825
16,644.8857023905352,343.67101037347453
17,667.9153594222869,361.0917449114086
18,690.4524628204074,381.36005605080555
19,709.7364775794771,403.4294126452514
20,728.2903273810871,427.67065324040203
21,746.0177580298048,452.88356997676107
22,762.6453408117011,479.17725600174464
23,779.0324331794136,506.07199536507864
24,795.2453712642183,532.2493632943239
25,811.4625677515185,559.1246111241086
26,827.3658392659494,579.9044172690338
27,845.1169371817086,595.580437281376
28,862.6167837500244,605.3905003810298
29,880.0285006084122,610.882604989892
30,898.1945309204398,613.5263250669138
31,916.8291836874948,612.1399472153962
32,933.9620295848767,607.9379243604587
33,952.1321048527136,601.1153453985179
34,970.642467380115,592.9364288314699
35,988.2559442510855,583.3969242038565
36,1007.3942966263471,573.2203773167784
37,1026.4997834547826,562.7132567385158
38,1044.8456617764487,551.7388783694342
39,1063.902980946718,541.0940871291122
40,1083.6728064545196,531.4943025913718
41,1104.1037426563937,524.6670456448369
42,1124.3668653905688,520.5205246502182
43,1143.8466407593667,517.6589116142134
44,1164.1208132755637,516.9971272432587
45,1183.0674377314124,518.2188631670557
46,1202.7671001920264,520.8510719234611
47,1220.3238953589394,525.664280138188
48,1233.9201272740772,531.0404219830654
49,1245.5391329598874,537.9443611663318
50,1258.3919555336383,545.2955416786735
51,1270.271703523007,553.8291762245345
52,1282.1019299499878,561.4817432164353
53,1293.3710411165798,569.6499031691283
54,1308.626316413832,573.2338927481063
55,1323.8815917110842,576.8178823270844
56,1339.1368670083364,580.4018719060624
57,1354.3921423055885,583.9858614850405
58,1369.6474176028407,587.5698510640185
59,1384.902692900093,591.1538406429966
